Generation,Best,Average,Worst,Standard deviation
309.0,43939.466121499914,45137.17344715916,53789.99695096329,1690.8392501709798
310.0,43833.50925509485,45014.95867170951,52498.19810821238,1624.553624131165
311.0,43668.872771837334,44879.13200465641,52611.74650309503,1619.621110932987
312.0,42503.2257176569,44717.5854073477,54144.898989370704,1665.6878042561964
313.0,42327.27860743971,43892.40677811104,53240.82153740451,1902.52935378119
314.0,42038.088228267196,43541.185438681256,54420.04020271332,1855.2071875853144
315.0,41953.95472846632,43166.206779866676,56098.15323666645,1840.147992307809
316.0,41939.23499070933,43042.80881217159,59572.338405433606,1747.7760352337953
317.0,41640.45725815528,43024.485318709485,59572.338405433606,1815.482532178137
318.0,41103.24737814642,42730.69027897284,55067.445518870365,1728.0116330296078
319.0,41058.98802556187,42267.53021247992,50582.65924006415,1694.4023954681281
320.0,40874.15702172322,42143.729245054616,50848.37392078798,1659.6434245691012
321.0,40775.182781283096,41920.93994711493,50214.6895088485,1644.4250326662773
322.0,40712.420250606694,41808.6538552296,51498.66012873902,1624.4436443211596
323.0,40602.430994853305,41643.720391279916,49164.40587480617,1518.198652030238
324.0,40376.4584851331,41645.43353483849,49893.590044592755,1644.5481439924515
325.0,40235.213006702514,41439.922862593034,50060.630754136095,1620.2629046619927
326.0,39121.96182950366,41230.10086283037,49111.69382201116,1595.23937233926
327.0,38878.742991183615,40472.356012777556,51414.79564440528,1817.013852160716
328.0,38809.07826678778,40085.89629488394,50334.88933903823,1850.5612657089184
329.0,38738.65066494522,39935.00977024319,50594.962895274024,1822.9492734129426
330.0,38534.851137354104,39824.537009162304,48634.9561028366,1657.135904190729
331.0,38310.29743210642,39646.47753025291,48634.9561028366,1705.935688874353
332.0,38234.956957170914,39485.94730739002,48858.32676207681,1744.014468864776
333.0,38076.016043648306,39260.18868972138,51519.10424463888,1710.1505316454266
334.0,37867.06069931863,39238.15567966396,52200.520154887294,1824.7838725829843
335.0,37403.45766507159,38969.86836651678,47905.23210862266,1705.5399462239257
336.0,37310.76441083593,38608.09271589877,49553.98968149064,1822.2495804099078
337.0,37265.68974195211,38409.114121169754,49553.98968149064,1822.0645437127419
338.0,37187.571114943545,38280.01130518778,46534.296706610876,1690.85076896355
339.0,36978.09451402966,38306.12660920095,45442.84795747831,1675.5429109739111
340.0,36871.83511819729,38103.18193399879,48355.53776414387,1724.2194191190829
341.0,36735.05148145595,37913.39728084531,48355.53776414387,1670.350465810069
342.0,36686.110774087654,37714.566561166386,46424.14552626601,1612.2040591653065
343.0,36381.84099260367,37697.94770673992,48926.46493480483,1662.515255827676
344.0,36274.06031738658,37490.17621475493,47069.571628771795,1645.3987015116613
345.0,36179.46031738658,37318.57344418354,46444.60643376954,1601.746545115689
346.0,36057.87951313434,37211.62352434639,46903.012363250404,1680.800838012991
347.0,36002.0535417196,37109.5556434919,48747.98425514178,1707.5474499006934
348.0,35797.24834477442,37018.948586283856,51765.765661658676,1708.0665430115473
349.0,35649.34255154097,36848.8564600184,50294.6978236734,1632.2242263296673
350.0,35578.52328262765,36797.519939228754,50294.6978236734,1825.675621902091
351.0,35506.93025676703,36639.199209699414,48580.37795379895,1779.639220062524
352.0,35434.728150839976,37356.54532621725,46116.10200091387,2139.1831955160005
353.0,35120.84339690287,37584.04937617136,48675.83260543042,2248.5983294843973
354.0,35096.29206778522,36607.62234530233,48680.48079939545,2164.707907009259
355.0,34840.70254382884,36331.185617450035,48680.48079939545,1956.2788550243472
356.0,34791.5942472154,35993.289179988715,48680.48079939545,1847.6551370186876
357.0,34649.31392676075,35841.31045108573,46370.41890262211,1651.1488545068942
358.0,34523.06385421005,35717.75906728071,45556.91023871684,1709.8528914217918
359.0,34266.935203176065,35599.33512487455,44161.2335474195,1652.9682602857777
360.0,34208.9550845709,35301.191606814515,44576.67243259718,1653.6650060538584
361.0,34159.610069798255,35196.96399604765,45850.97302866315,1579.1081657202267
362.0,34027.78419839116,35155.55036224356,46067.043246680834,1615.6942217385676
363.0,33719.597183860365,35109.56485803373,43490.89923884709,1661.9016677497643
364.0,33631.933372601394,34802.01196131262,43490.89923884709,1721.1064064755776
365.0,33498.962105068545,34664.37231250631,45818.92767161094,1669.0410882977142
366.0,33159.50158257566,34445.58886674999,43675.76408221766,1620.205760337518
367.0,33086.253893541034,34307.7872221733,43939.58833672152,1697.6224118175646
368.0,33042.74823077959,34196.231302963504,46867.62681819607,1757.4176086301761
369.0,32875.893680914494,34049.67049364684,49356.8010915348,1687.4315305518212
370.0,32805.39677302533,33959.9312723413,47691.05478336543,1733.9631338296972
371.0,32760.47180855558,33859.206107531645,44172.62787488149,1721.3489726929306
372.0,32614.73561155118,33787.90369679573,48297.773426968335,1757.641573402732
373.0,32548.94994380144,33714.14820304022,47483.89069346149,1735.967966137694
374.0,32488.437837174293,33623.03506429952,42760.38626097586,1689.3184773930795
375.0,32405.062228604584,33561.63623421012,44321.724879629175,1707.5864895545453
376.0,32339.985678825804,33346.98353141076,46569.48299885527,1581.6690250084632
377.0,32283.768127506984,33336.68816594185,41588.33158852219,1613.48091585179
378.0,32243.34444443111,33317.57419333221,41871.440843959186,1652.2976174870578
379.0,32040.410501599486,33372.12033655763,41871.440843959186,1734.5852388258509
